Market,NPVSum,NPVmean,NPVmedian,costSum,costMean,costMedian
Denver,175991106,41439,20374,121433800,28593,19592
Dallas,208595614,31735,20752,182098766,27704,26388
Atlanta,165892967,33960,22420,109872591,22492,18402
