Building ID,Market,Street Address,City,State,Postal Code,Latitude,Longitude,On Zayo Network Status,Net Classification,Type,Network Proximity, Estimated Build Cost 
Bldg-075462,Atlanta,2967 Central Ave,Atlanta,GA,30344,33.674283,-84.4393769,Not on Zayo Network,Stubbed,Cell Site,100.31,"$13,009.30 "
Bldg-075457,Atlanta,2622 Shallowford Rd NE,Atlanta,GA,30345,33.8639929,-84.2883452,On Zayo Network,Fiber Only,Cell Site,96.16,"$12,884.80 "
Bldg-075463,Atlanta,2970 Clairmont Rd NE,Atlanta,GA,30329,33.8441185,-84.3157225,On Zayo Network,On-Net,Office - Multi Tenant,278.37,"$18,351.10 "
Bldg-075464,Atlanta,3045 Commerce Way,Atlanta,GA,30354,33.670882,-84.398757,Not on Zayo Network,Stubbed,Cell Site,269.62,"$18,088.60 "
Bldg-075459,Atlanta,2751 Buford Hwy NE,Atlanta,GA,30324,33.8288588,-84.3456061,On Zayo Network,On-Net,Office - Multi Tenant,46.4,"$11,392.00 "
Bldg-075465,Atlanta,315 Simpson Ter NW,Atlanta,GA,30314,33.7633879,-84.3973627,On Zayo Network,Fiber Only,Cell Site,368.91,"$21,067.30 "
Bldg-075466,Atlanta,3200 Downwood Cir NW,Atlanta,GA,30327,33.8416081,-84.4263431,On Zayo Network,Fiber Only,Clinic,978.84,"$33,492.16 "
Bldg-075467,Atlanta,3203 Roswell Rd NE,Atlanta,GA,30305,33.8425028,-84.3788977,Not on Zayo Network,Stubbed,Cell Site,32.37,"$10,971.10 "
Bldg-075513,Atlanta,3285 Peachtree Rd NE,Atlanta,GA,30305,33.844872,-84.369142,Not on Zayo Network,Stubbed,Hotel & Inn,82.75,"$12,482.50 "
Bldg-075514,Atlanta,3380 Holcomb Bridge Rd,Peachtree Corners,GA,30092,33.951733,-84.240348,Not on Zayo Network,Stubbed,Cell Site,191.39,"$15,741.70 "
Bldg-075515,Atlanta,3405 Lenox Rd NE,Atlanta,GA,30326,33.8479698,-84.3595552,Not on Zayo Network,Stubbed,Hotel & Inn,326.87,"$19,806.10 "
Bldg-075707,Atlanta,345 Tidwell Dr,Alpharetta,GA,30004,34.108141,-84.241592,Not on Zayo Network,Stubbed,Cell Site,145.65,"$14,369.50 "
Bldg-075702,Atlanta,10th St NW & State St NW,Atlanta,GA,30318,33.7815188,-84.3991697,On Zayo Network,Restricted,Small Cell,2162.31,"$61,895.44 "
Bldg-075708,Atlanta,347 Old Peachtree Rd NW,Suwanee,GA,30024,34.0199196,-84.0536469,Not on Zayo Network,Stubbed,Cell Site,42.21,"$11,266.30 "
Bldg-075703,Atlanta,800 Atlantic Dr NW,Atlanta,GA,30318,33.777408,-84.397901,On Zayo Network,Restricted,Small Cell,1417.85,"$44,028.40 "
Bldg-075709,Atlanta,Spring St NW & 10th St NW,Atlanta,GA,30309,33.781507,-84.389168,On Zayo Network,Restricted,Small Cell,371.07,"$21,132.10 "
Bldg-075704,Atlanta,425 10th St NW,Atlanta,GA,30318,33.7815366,-84.4008555,On Zayo Network,Restricted,Small Cell,1994.34,"$57,864.16 "
Bldg-075705,Atlanta,329 Atlantic Dr NW,Atlanta,GA,30318,33.7753232,-84.3977901,On Zayo Network,Restricted,Small Cell,1417.56,"$44,021.44 "
Bldg-075710,Atlanta,991 Piedmont Ave NE,Atlanta,GA,30309,33.781611,-84.380405,On Zayo Network,Restricted,Small Cell,1085.27,"$36,046.48 "
Bldg-075706,Atlanta,343 Mitchell St SW,Atlanta,GA,30303,33.754072,-84.398968,Not on Zayo Network,Stubbed,Cell Site,193.72,"$15,811.60 "
Bldg-075711,Atlanta,355 North Ave NE,Atlanta,GA,30308,33.7711863,-84.3754677,On Zayo Network,Fiber Only,Cell Site,792.24,"$29,013.76 "
Bldg-075713,Atlanta,116 12th St NE,Atlanta,GA,30309,33.784577,-84.3862805,On Zayo Network,Restricted,Small Cell,463.83,"$23,914.90 "
Bldg-075714,Atlanta,Hardy Industrial Blvd & Hill St NW,Duluth,GA,30096,34.0010325,-84.1500216,Not on Zayo Network,Stubbed,Cell Site,1583.89,"$48,013.36 "
Bldg-075715,Atlanta,3601 Piedmont Rd NE,Atlanta,GA,30305,33.8524875,-84.3807517,Not on Zayo Network,Stubbed,Cell Site,33.71,"$11,011.30 "
Bldg-075720,Atlanta,4484 Freedom Ln,Norcross,GA,30071,33.9691257,-84.176295,Not on Zayo Network,Stubbed,Cell Site,2275.4,"$64,609.60 "
Bldg-075716,Atlanta,3862 Flat Shoals Rd,Union City,GA,30291,33.586083,-84.516757,Not on Zayo Network,Stubbed,Cell Site,733.1,"$27,594.40 "
Bldg-075717,Atlanta,3865 Peachtree Industrial Blvd,Duluth,GA,30096,33.989412,-84.171245,On Zayo Network,Fiber Only,Cell Site,429.06,"$22,871.80 "
Bldg-075721,Atlanta,45 8th St NE,Atlanta,GA,30309,33.779305,-84.385907,On Zayo Network,Fiber Only,Cell Site,46.92,"$11,407.60 "
Bldg-075722,Atlanta,4801 GA-85,Forest Park,GA,30297,33.624091,-84.4029218,Not on Zayo Network,Stubbed,Cell Site,123.19,"$13,695.70 "
Bldg-075727,Atlanta,5430 Trimble Rd,Atlanta,GA,30342,33.8980563,-84.3578015,Not on Zayo Network,Stubbed,Cell Site,1532.76,"$46,786.24 "
Bldg-075723,Atlanta,5275 Roswell Rd,Atlanta,GA,30342,33.898847,-84.380296,On Zayo Network,Fiber Only,Cell Site,315.11,"$19,453.30 "
Bldg-075724,Atlanta,5324 Old Norcross Rd,Norcross,GA,30071,33.9477059,-84.196592,Not on Zayo Network,Stubbed,Cell Site,1252.66,"$40,063.84 "
Bldg-075728,Atlanta,Ponce De Leon Ave & Artwood Rd,Atlanta,GA,30307,33.7741733,-84.3161899,On Zayo Network,Restricted,Small Cell,5544.39,"$143,065.36 "
Bldg-075725,Atlanta,5360 McGinnis Ferry Rd,Alpharetta,GA,30005,34.0922377,-84.2026681,Not on Zayo Network,Stubbed,Cell Site,740.58,"$27,773.92 "
Bldg-075729,Atlanta,548 Medlock Rd,Decatur,GA,30030,33.7921179,-84.2901546,Not on Zayo Network,Stubbed,Cell Site,545.86,"$23,100.64 "
Bldg-075726,Atlanta,1235 Peachtree St NE,Atlanta,GA,30309,33.788599,-84.383801,On Zayo Network,Restricted,Small Cell,27.67,"$10,830.10 "
Bldg-076126,Atlanta,1346 Oakbrook Dr,Norcross,GA,30093,33.915975,-84.1856958,Not on Zayo Network,Fiber Only,Office - Single Tenant,2617.89,"$72,829.36 "
Bldg-053006,Denver,Testing,Test,CO,80211,39.764602,-105.0194,Build in Progress,Fiber Only,Office - Multi Tenant,507.26,"$27,617.80 "
Bldg-053008,Atlanta,1100 Peachtree St NE,Atlanta,GA,30309,33.7849169,-84.3831646,On Zayo Network,On-Net,Office - Multi Tenant,58.15,"$11,744.50 "
Bldg-076310,Atlanta,6195 Barfield Rd,Atlanta,GA,30328,33.923679,-84.359824,Not on Zayo Network,Fiber Only,Office - Multi Tenant,1307.33,"$41,375.92 "
Bldg-052821,Atlanta,3405 Piedmont Rd NE,Atlanta,GA,30305,33.8480474,-84.3729531,On Zayo Network,Fiber Only,Office - Multi Tenant,111.71,"$13,351.30 "
Bldg-076591,Atlanta,1645 Bluffs Pkwy,Canton,GA,30114,34.288594,-84.46684,Not on Zayo Network,Type 2,College/University,88666.7,"$2,138,000.80 "
Bldg-077618,Atlanta,4080 McGinnis Ferry Rd,Alpharetta,GA,30005,34.1031611,-84.2384648,Not on Zayo Network,On-Net,Office - Single Tenant,607.61,"$24,582.64 "
Bldg-078441,Dallas,2020 Live Oak St,Dallas,TX,75201,32.7840047,-96.7944818,On Zayo Network,On-Net,Neutral Data Center,71.18,"$16,270.80 "
Bldg-078034,Atlanta,1395 S Marietta Pkwy SE,Marietta,GA,30067,33.9411151,-84.5118355,Not on Zayo Network,Fiber Only,Office - Multi Tenant,908.49,"$31,803.76 "
Bldg-078490,Atlanta,5555 Oakbrook Pkwy,Norcross,GA,30093,33.920447,-84.186301,Not on Zayo Network,Type 2,Office - Single Tenant,1242.69,"$39,824.56 "
Bldg-078037,Atlanta,Test Tax Build,Atlanta,GA,30303,33.756536,-84.389427,Not on Zayo Network,Fiber Only,Office - Single Tenant,385.93,"$21,577.90 "
Bldg-078636,Atlanta,10 Park Ln NE,Atlanta,GA,30309,33.792236,-84.374704,Not on Zayo Network,Fiber Only,Office - Single Tenant,260.43,"$17,812.90 "
Bldg-078056,Dallas,3510 Wyndham Ln,Richardson,TX,75082,32.999934,-96.686704,On Zayo Network,Fiber Only,Private Data Center,255.41,"$27,324.60 "
Bldg-078055,Dallas,1000 Coit Rd,Plano,TX,75075,33.014931,-96.764706,On Zayo Network,Fiber Only,Office - Multi Tenant,569.17,"$26,229.25 "
Bldg-078728,Atlanta,1920 Briarcliff Rd NE,Atlanta,GA,30329,33.8092652,-84.3353399,On Zayo Network,Fiber Only,Clinic,252.17,"$17,565.10 "
Bldg-078775,Atlanta,2105 Vaughn Rd,Kennesaw,GA,30144,34.0081555,-84.5839743,Not on Zayo Network,On-Net,Office - Multi Tenant,672.14,"$26,131.36 "
Bldg-078149,Denver,88 Inverness Cir E,Englewood,CO,80112,39.577086,-104.861668,Not on Zayo Network,Type 2,Office - Multi Tenant,719.43,"$33,982.90 "
