uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
1555,32.8008,-96.8196,"26,388.00","58,599.22",Professional Services,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1556,32.8008,-96.8196,"26,388.00","21,704.58",Professional Services,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1557,32.8008,-96.8196,"26,388.00","17,976.71",Professional Services,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1558,32.8008,-96.8196,"26,388.00","17,976.71",Professional Services,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1559,32.8008,-96.8196,"26,388.00","17,922.30",Professional Services,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1560,32.8008,-96.8196,"26,388.00","14,286.21",Professional Services,Ethernet,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1561,32.7744,-96.806,"26,204.50","152,097.71",Professional Services,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,508 Young St Dallas TX 75202
1562,32.7744,-96.806,"26,204.50","66,763.64",Professional Services,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,508 Young St Dallas TX 75202
1563,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1564,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1565,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1566,32.8008,-96.8196,"26,388.00",0,IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1567,32.8008,-96.8196,"26,388.00","43,029.16",IT Infrastructure,Wavelengths - Long Haul,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1568,32.7873,-96.7941,"15,880.20","101,845.96",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1569,32.7873,-96.7941,"15,880.20","101,845.96",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1570,32.7873,-96.7941,"15,880.20","59,334.40",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1571,32.7873,-96.7941,"15,880.20","54,906.41",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1572,32.7873,-96.7941,"15,880.20","54,906.41",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1573,32.7873,-96.7941,"15,880.20","48,772.57",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,2323 Bryan St Dallas TX 75201
1574,32.8008,-96.8196,"26,388.00","54,124.06",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1575,32.8008,-96.8196,"26,388.00","59,334.51",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
1576,32.8008,-96.8196,"26,388.00","61,145.37",IT Infrastructure,Dark Fiber - Metro,Carrier Hotel,On Zayo Network,null,null,1950 N Stemmons Fwy Dallas TX 75207
